ZIP,Metro,CountyName,StateSizeRank,FinalZHVI,FinalZScore,ZHVI_Tier,YoY_2001,YoY_2002,YoY_2003,YoY_2004,YoY_2005,YoY_2006,YoY_2007,YoY_2008,YoY_2009,YoY_2010,YoY_2011,YoY_2012,YoY_2013,YoY_2014,YoY_2015,YoY_2016,YoY_2017,YoY_2018,YoY_2019,YoY_2020,YoY_2021,YoY_2022,YoY_2023,YoY_2024,AvgYoYGrowth,MedianYoYGrowth,YoYGrowthVolatility,NegativeGrowthYears,Pct_Renter_Occupied,Pct_Bachelors_Or_Higher,Unemployment_Rate,Pct_Below_Poverty,Pct_No_Vehicle,Pct_One_Person_HH,Pct_4plus_HH,Pct_Age_0_17,Pct_Age_18_34,Pct_Age_65plus,YoY_2025
30305,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,159,667964.3601608542,2.7059904397009755,very high,3.575048379992728,2.00257893730436,1.5293242049850801,3.5698102561625045,5.515311085953891,2.810049046443563,0.5861570721272346,-5.241245440804848,-11.30654778362294,-5.538006965851717,-4.2116348393104825,6.074676100609554,16.7992749545803,10.188601865238736,9.745236860967054,3.9678619911112363,5.0586003407475575,3.098519164191943,1.4272466657455678,3.9409770253286216,7.740695129626445,1.9760013153012534,4.127496417487068,0.08457589168408507,2.8133586531666164,3.334164710177224,5.716308034228583,4,48.43658202232522,77.669452181987,3.028647730031561,7.039192574038603,6.482146354200665,53.25412885958613,53.25412885958613,15.040116703136396,6.4040846097738875,2.1407731582786287,1.2735984941291192
30056,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County,452,321152.3973086234,0.3405066244181257,mid,7.920851504040487,3.340337380534627,2.0530354499314307,9.258506522174219,0.7718495484467062,13.587451296458587,-4.064135987785447,-3.7476328909787737,-22.28959691921169,-8.609536423450349,-5.995588002943782,7.179099626156875,16.411046408316544,10.336054842240992,9.681972675901948,3.1144179875202287,7.430749936576343,9.099640992777793,5.902885914650059,14.818803396758305,21.92811494160799,9.777183672755964,6.629880254918073,0.7074308225689964,4.801784289581922,6.904489940537474,9.27273536813559,5,16.019417475728154,21.317588564325668,7.359307359307359,8.822287885183622,5.097087378640777,15.412621359223301,15.412621359223301,24.67423287095418,7.6923076923076925,2.437999159310635,0.6971912199597087
30736,"Chattanooga, TN-GA",Catoosa County,56,293818.2443843593,0.1540698711554857,mid,5.666841662117008,3.8741868913540127,3.1747396175261535,5.007895033958548,6.68104711300584,3.357170963600788,2.372264291831825,-3.9855611724518814,-6.896048337445768,-5.962116364988814,-6.040076273141476,4.245687989062649,7.120690560632815,2.1511241288449585,3.929728858763352,3.8490901170660488,4.32407983457855,6.359869832493096,7.8955792675079515,11.112776526544636,18.30964217260033,10.295679018365727,6.168041783956314,0.755952861815546,3.907011932399925,4.087708423913,5.677515680350805,4,15.746673238048299,26.662262592898433,2.7489119815258904,6.083241959064328,2.846229669788073,20.10842779694431,20.10842779694431,23.21566139484298,8.186432229120406,2.7280554674400688,2.5863852012281585
30642,"Milledgeville, GA",Greene County,248,657491.1545170933,2.6345563454422343,very high,,,,,,,,,,-1.6998917128515658,-6.403029005585271,-1.1589860395874392,-0.40806856514302187,2.4995356898449805,3.659596143430497,0.27165305773440424,5.266056532079491,5.594987299760132,5.157268915254745,11.118267789629753,26.747237405977053,7.669520025779584,2.9655209905473585,-1.2498507366226994,4.001987852683199,2.9655209905473585,7.647197996363923,5,19.12821331630209,42.829111666072066,6.36478784040532,8.556185845488924,4.662302410985151,27.878013731438607,27.878013731438607,15.56705186777748,9.103735554958345,4.474603601182478,4.215606915866758
30046,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,71,341035.67488591466,0.4761235475399467,mid,6.533156314987717,3.619554790724341,2.015625723786592,2.541677564850561,3.4000747124746145,2.2873739095757095,0.7600855997443914,-11.374226680649935,-13.155393906773158,-14.260027411589526,-18.843328415493083,0.8884462410193867,31.51594150415048,14.808510961104892,11.153667096525275,9.788545708034672,8.914745808018715,10.969315749263883,6.415208238247006,11.478638746856113,25.417694970657593,14.945520322822922,2.226495180844894,0.5686268021726794,4.692330397139863,3.5098147515994778,11.60412039700865,4,46.72593235039029,26.21181262729124,4.688939533530524,15.985731150233537,10.675050592656838,26.06244579358196,26.06244579358196,26.01710353203117,11.868737981985628,1.8216779678170225,1.5175782847247323
30185,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County,377,295222.25710156723,0.1636461537372425,mid,16.17737259435329,-2.09942830177513,7.43700850006557,-2.7400770107473673,5.783367316703949,1.9084745979395739,3.323810745542715,-9.10071634979117,-9.882759321793303,-7.5230899437572845,-10.990026241962948,14.121550042723397,26.168998004675746,9.600869268732811,8.15566990108811,-0.9367574464973656,10.932128337081252,12.90052672185453,8.619010298937265,15.687037364899814,17.754513224248694,15.234053398645544,3.150020953744459,0.4017995401609056,5.586806508128045,6.610187908384759,9.765363991667622,7,10.408432147562582,10.978342046303212,3.0473511486169715,16.473709599614086,2.3715415019762847,22.200263504611332,22.200263504611332,17.943159922928707,17.557803468208093,2.480732177263969,3.4970590421828147
30104,"Cedartown, GA",Polk County,383,205987.8498555156,-0.4449907121047572,mid,5.268765927032242,5.034540952031827,4.989523783843106,1.3543539907981617,-3.0737858596272,3.1929294607815466,1.3729422743206419,-4.006273566274329,-8.965362717863684,-5.805649693249063,-10.84503460215765,5.89727782229876,17.586536823207506,8.229227473257817,10.32451039138204,3.9480046329917946,10.32043995245687,11.394980402224512,6.850446640754965,18.490454579295577,19.393378743101824,16.863628215650728,3.6292986559014526,1.0700791728398649,5.104800560624971,5.012032367937467,8.22944814056769,5,30.806845965770172,9.89176187612748,3.9950062421972534,20.916795069337443,3.1784841075794623,18.52078239608802,18.52078239608802,31.2788906009245,4.661016949152542,1.4252696456086287,5.229681388979329
30084,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,82,379182.8628133006,0.7363122529659839,mid,7.988785707846904,4.167585971256384,1.340209735051983,3.028504804134329,3.7194352882718573,2.4244884923833916,0.7903739167136647,-8.44822333510283,-6.162770112078646,-8.479987821274566,-11.196781895124131,6.1460539752402115,15.891158850867564,8.02645783158376,8.144612819571975,9.212556146980697,9.19934944225937,10.060043637512821,2.5208575756579297,10.25463950466687,17.911388602981436,11.516363845139733,3.1230983846351914,0.9188052761048031,4.2540419435533625,3.9435106297641207,7.378346758487091,4,33.12185366526447,41.91856107919061,4.7927080270508675,11.403256579807115,5.165161023377698,30.673746638162886,30.673746638162886,19.333591631150718,8.288776959834689,1.9604804339403332,2.1095136123427336
39867,"Eufaula, AL-GA",Clay County,517,153372.23140622294,-0.8038635515803951,low,,,,,,,,,,,-4.287790188982218,2.9324171530591263,1.4901524848943881,3.376455299150333,3.5291694757873366,1.7278330762144007,4.654810358798429,2.2041232138985065,0.5661795242132194,16.311326355843125,14.072088378398794,3.6905824590421448,5.095831484117201,-1.3651889133654482,3.8569992972192386,3.1544362261047296,5.4076591620256185,2,48.214285714285715,29.464285714285715,0.0,0.0,0.0,28.571428571428573,28.571428571428573,0.0,0.0,0.0,-3.3137630208842777
31525,"Brunswick, GA",Glynn County,145,255292.65858681823,-0.10869975457741739,mid,,,,,,,,,-7.2976553506705555,-7.474073902757507,-6.228350113467642,-6.402642167782451,1.8448415593328744,2.3789728399051926,6.080958971417177,1.7940025727672546,10.785197364435495,7.921346194252407,5.018378655188512,8.388568849710731,13.266312061091078,16.64789739990636,3.9578623322252917,0.7697835161836819,3.215712548858619,3.1684175860652424,7.3789586178790465,4,38.89532293986637,22.25697159238989,4.98852014193279,15.993457545157161,4.988864142538976,28.187082405345212,28.187082405345212,22.1460223675881,10.381937117535346,3.7842020116761623,3.0356092256286202
